u,v,key,edge_id,from,to,length
1449662719,2479552237,0,240201357,1449662719,2479552237,42.819
1449662719,2479552140,0,240201357,2479552140,1449662719,29.936
1449662720,8251054449,0,887451066,1449662720,8251054449,3.588
1449662720,2480665288,0,887502321,2480665288,1449662720,74.263
1449662720,1694612330,0,131753976,1449662720,1694612330,286.87
1449662720,1694612293,0,131753976,1694612293,1449662720,107.736
1449662731,1693251172,0,900744403,1693251172,1449662731,60.686
1449662731,7293560917,0,240325052,1449662731,7293560917,50.261
1449662731,1941746928,0,240325053,1941746928,1449662731,54.516999999999996
1449662739,2480664313,0,240325013,1449662739,2480664313,114.406
1449662739,2482807090,0,240550196,2482807090,1449662739,149.442
1449662741,1449663345,0,240550596,1449662741,1449663345,37.03
1449662741,2482807985,0,240550482,1449662741,2482807985,26.978
1449662741,1449662818,0,240550596,1449662818,1449662741,128.18099999999998
1449662744,1449663423,0,131754089,1449662744,1449663423,30.459000000000003
1449662744,1449663383,0,886188655,1449662744,1449663383,21.240000000000002
1449662744,2482807232,0,886188653,2482807232,1449662744,137.421
1449662746,1495364190,0,136299025,1495364190,1449662746,23.265
1449662746,1449663886,0,240325506,1449662746,1449663886,56.775
1449662746,1449663651,0,131754041,1449663651,1449662746,60.386
1449662755,1449663818,0,131753974,1449662755,1449663818,96.224
1449662755,1449662959,0,240550624,1449662959,1449662755,65.815
1449662755,1449663716,0,131754083,1449663716,1449662755,161.947
1449662756,1449662837,0,239833764,1449662756,1449662837,52.04
1449662756,2478284645,0,240058833,1449662756,2478284645,26.407000000000004
1449662756,1449664140,0,239833764,1449664140,1449662756,29.593
1449662758,1449663980,0,131753943,1449662758,1449663980,44.335
1449662758,1449662940,0,131754049,1449662758,1449662940,82.707
1449662758,1449663195,0,131754049,1449663195,1449662758,331.56399999999996
1449662758,1449663886,0,131754066,1449663886,1449662758,79.42300000000002
1449662761,2482806659,0,131754070,1449662761,2482806659,17.658
1449662761,1449664136,0,240550359,1449662761,1449664136,22.881
1449662761,1449662975,0,131754070,1449662975,1449662761,11.036
1449662764,1449663681,0,131754036,1449662764,1449663681,20.765
1449662764,2476144822,0,239833770,1449662764,2476144822,40.298
1449662764,1449662867,0,131754036,1449662867,1449662764,39.997
1449662766,1449662864,0,240325136,1449662766,1449662864,22.53
1449662766,1449663092,0,240325136,1449663092,1449662766,6.689
1449662784,2482807730,0,240550726,2482807730,1449662784,32.167
1449662784,2482807780,0,131754055,1449662784,2482807780,194.64499999999998
1449662785,1449663594,0,240550142,1449662785,1449663594,8.634
1449662785,1449663121,0,131754062,1449663121,1449662785,121.936
1449662785,1449663250,0,240550142,1449663250,1449662785,43.54900000000001
1449662787,1449663346,0,131754107,1449662787,1449663346,13.397
1449662787,1449664019,0,131754107,1449664019,1449662787,20.926000000000002
