node_id,gc_distance
60685409,2595.8128741477362
60685428,2877.5922127162444
60685429,2914.966848655246
60685431,2984.281183122171
60685446,2889.500299535212
60685465,2818.6604043421776
60685472,2771.246443261493
60685476,2641.434004484514
60685613,2808.5206410665314
60685619,2702.255046841801
60685620,2692.0614305236872
60685622,2880.9935449416766
60685624,2928.5481136598487
60685633,3067.010432844946
60685635,3112.3545055870027
60685636,3153.5990409216533
60685647,3000.977647380711
60685648,2996.434468137865
60685649,2966.6757743075964
60685651,3116.031372354267
60685686,3162.51836344459
60685693,2867.2193924340168
60685696,2851.3637454843556
60685710,2810.2477227110517
60685713,2856.4889970368768
60685715,2872.3265260503154
60685718,2837.554879994711
60685721,2805.0870708320253
60685725,2788.813405422579
60685726,2821.8961196857476
60685733,2805.6593284912947
60685734,2770.9870088574876
60685757,2264.336612039172
60685760,2377.447550474657
60685761,2419.8261807630383
60685763,2600.652063160256
60685770,2179.5620601407795
60685771,2162.847057694854
60685775,1931.386048354109
60685779,1873.6407723068446
60685783,2069.2884296315888
60685788,2133.7249768480197
60685794,2398.435274063071
60685799,2254.2796486973457
60685800,2320.7761862373486
60685801,2411.4150829819555
60685803,2141.965913340766
60685804,2036.3974928760817
60685805,1925.9895432252586
60685806,2226.4465469985703
60685807,2198.1595753910447
60685808,2114.4921612895773
60685809,2007.2201241092196
60685811,2125.139990098116
60685812,2018.51036855399
60685813,1907.089782138863
60685814,2106.5773935145066
60685815,2067.6061990667117
60685816,2002.0575308873067
60685818,2400.6107656401796
60685820,2427.6990578840637
60685821,2529.7227596209486
60685827,3204.7809245532358
60685853,3239.9078610341944
60685856,3303.646932352716
60685857,3311.175356772078
60685859,3385.531953811814
60685862,3367.9620099003796
60685870,3245.2689546210145
60685873,3197.981522471494
60685894,3415.400793675248
60685898,3286.4587929964723
60685903,3461.4892614617847
60685904,3432.9294595209353
60685908,3378.9451270358613
60685911,3239.4419597015667
60685912,3188.1753381589238
60685916,3128.8763384773665
60685971,3522.610882303021
60685973,3607.9332912201144
60685975,3660.1858429042404
60685978,3574.993189601741
60685982,3594.74170433313
60686002,2173.326154517828
60686006,2070.930722630796
60686009,1942.0183930637256
60686020,2401.3851767060123
60686029,2489.282310538864
60686036,2502.135528016313
60734129,3274.8739037594437
60734130,3254.614133345055
60734132,3178.333678048168
60734133,3131.2811369163683
60734199,3775.0680445519565
60734200,3786.2301546978397
60734201,3797.1795635438434
60734202,3785.8009629665603
60734203,3808.484017952455
60734204,3796.824440512054
60734205,3819.6364559610433
60734206,3807.5539535387243
60734215,3491.993343461749
60734220,3295.835373013865
60734229,2992.2389044389183
60734245,3900.1496646877677
60734246,3969.701284701046
60734247,4017.286642713317
60734249,4121.365449502191
60734250,4202.133713128965
60734257,4294.462140784945
